,Pokedex,Stamina,Attack,Defense,Primary,Secondary,MaxHP,Capture_rate,Escape_rate,Weight,Height,Legendary,MaxCP,Generation
Pokedex,1.0,0.12052354847946635,0.17562022211489153,0.09872833709028732,-0.08273923508579538,-0.11394614427436663,0.12075336645777691,-0.13352611719953267,-0.14679493988126666,0.11477744060375396,-0.006374898584381646,0.14143401117270216,0.1852188119902315,0.9774529915029537
Stamina,0.12052354847946635,1.0,0.4099166487093683,0.34846716565477337,0.13747935365681924,-0.06855766564373422,0.9999685434934803,-0.3649820838218852,-0.36163159210046514,0.3863277881384954,0.39151363738703393,0.22379038999313403,0.6005816228421499,0.08509418621969521
Attack,0.17562022211489153,0.4099166487093683,1.0,0.4874076146424194,-0.05202577842653904,-0.0782686834614212,0.4093917571991277,-0.5019274125752656,-0.410828833333153,0.4018715178060774,0.3949729912145267,0.3323855214036674,0.9232708277288629,0.12237411000444329
Defense,0.09872833709028732,0.34846716565477337,0.4874076146424194,1.0,0.08301452348101261,0.06323546223908617,0.34852225980872786,-0.4847836754983361,-0.48216608189604243,0.47248513303014783,0.405105591835481,0.3842576096805467,0.7083555609730731,0.04047649512377913
Primary,-0.08273923508579538,0.13747935365681924,-0.05202577842653904,0.08301452348101261,1.0,-0.022268562584407247,0.1374266501486506,0.11099800726799759,-0.0012204644879410171,0.09245622178610766,0.08186721595856543,0.0050949370085567516,0.013695197539629106,-0.08851850551391867
Secondary,-0.11394614427436663,-0.06855766564373422,-0.0782686834614212,0.06323546223908617,-0.022268562584407247,1.0,-0.06833664672106626,0.07055184010142747,0.057451641281190756,-0.030934787099312574,-0.08725525155322353,-0.08082020788393371,-0.05695063610134294,-0.10836213274307495
MaxHP,0.12075336645777691,0.9999685434934803,0.4093917571991277,0.34852225980872786,0.1374266501486506,-0.06833664672106626,1.0,-0.3653003755813127,-0.3619229356786496,0.38666242472067136,0.39162419331246556,0.22428334154606058,0.600253904202552,0.08529390605767004
Capture_rate,-0.13352611719953267,-0.3649820838218852,-0.5019274125752656,-0.4847836754983361,0.11099800726799759,0.07055184010142747,-0.3653003755813127,1.0,0.4995102084663528,-0.3625696306857812,-0.3551346735957744,-0.21195661035720365,-0.569315434066781,-0.11995714106465169
Escape_rate,-0.14679493988126666,-0.36163159210046514,-0.410828833333153,-0.48216608189604243,-0.0012204644879410171,0.057451641281190756,-0.3619229356786496,0.4995102084663528,1.0,-0.2695250230954572,-0.2557778055917402,-0.261289297124386,-0.506864719477773,-0.11718195143793694
Weight,0.11477744060375396,0.3863277881384954,0.4018715178060774,0.47248513303014783,0.09245622178610766,-0.030934787099312574,0.38666242472067136,-0.3625696306857812,-0.2695250230954572,1.0,0.637847268944309,0.42622742796895086,0.5401158891031174,0.08250602031237265
Height,-0.006374898584381646,0.39151363738703393,0.3949729912145267,0.405105591835481,0.08186721595856543,-0.08725525155322353,0.39162419331246556,-0.3551346735957744,-0.2557778055917402,0.637847268944309,1.0,0.27270954578733003,0.4873385509768666,-0.0393734849541566
Legendary,0.14143401117270216,0.22379038999313403,0.3323855214036674,0.3842576096805467,0.0050949370085567516,-0.08082020788393371,0.22428334154606058,-0.21195661035720365,-0.261289297124386,0.42622742796895086,0.27270954578733003,1.0,0.44510019101045634,0.09963695819285916
MaxCP,0.1852188119902315,0.6005816228421499,0.9232708277288629,0.7083555609730731,0.013695197539629106,-0.05695063610134294,0.600253904202552,-0.569315434066781,-0.506864719477773,0.5401158891031174,0.4873385509768666,0.44510019101045634,1.0,0.12280629756822536
Generation,0.9774529915029537,0.08509418621969521,0.12237411000444329,0.04047649512377913,-0.08851850551391867,-0.10836213274307495,0.08529390605767004,-0.11995714106465169,-0.11718195143793694,0.08250602031237265,-0.0393734849541566,0.09963695819285916,0.12280629756822536,1.0
